common常见贴图
sprite_common_activestatus.NPK                              异常状态效果
sprite_character_fighter_atequipment_weapon_glove.NPK        手套
sprite_character_fighter_atequipment_weapon_knuckle.NPK     指虎
sprite_character_fighter_atequipment_weapon_tonfa.NPK       东方棍
职业特征
sprite_character_fighter_atequipment_growtype.NPK               柔道、街霸、散打
sprite_character_fighter_effect.NPK                          气功、技能图标、其他特效
技能
sprite_character_fighter_effect_at108stairsex.NPK           武莲华 
sprite_character_fighter_effect_atattack.NPK              男格斗家技能特效
sprite_character_fighter_effect_atblockbuster.NPK           狂暴 - 砖块投掷
sprite_character_fighter_effect_atchainkick.NPK           霹雳三重踢
sprite_character_fighter_effect_atchargespear.NPK          彗星冲击
sprite_character_fighter_effect_atclosepunch.NPK            冲膝
sprite_character_fighter_effect_atcrashlowkick.NPK          碎骨
sprite_character_fighter_effect_atcrashrope.NPK              千丝乱舞
sprite_character_fighter_effect_atcrazymount.NPK            念兽：猛虎震地特效
sprite_character_fighter_effect_atdashafterdash.NPK         野蛮冲撞
sprite_character_fighter_effect_atdashpunch.NPK             肘击
sprite_character_fighter_effect_atdefinitegrab.NPK          暴力抓取的特效
sprite_character_fighter_effect_atdestroyearthskydrop.NPK   天崩地裂
sprite_character_fighter_effect_atearthbreak.NPK            金刚碎
sprite_character_fighter_effect_atenchantpoison.NPK         毒瓶投掷
sprite_character_fighter_effect_atenergyball.NPK            念气波
sprite_character_fighter_effect_atenergyfield.NPK          螺旋念气场
sprite_character_fighter_effect_atfastdash.NPK              瞬步
sprite_character_fighter_effect_atflamelegs.NPK              烈焰焚步
sprite_character_fighter_effect_atglueyfruitthrow.NPK        爆破黏球
sprite_character_fighter_effect_atglueyfruitthrow_appendage.NPK         爆破黏球
sprite_character_fighter_effect_atglueyfruitthrow_explosionfruit.NPK           爆破黏球
sprite_character_fighter_effect_atglueyfruitthrow_throwfruit.NPK            爆破黏球
sprite_character_fighter_effect_atgrabexplosion.NPK         擒月炎
sprite_character_fighter_effect_atgroundkick.NPK            螺旋滑铲
sprite_character_fighter_effect_athiddensting.NPK            毒针投掷
sprite_character_fighter_effect_atholdup.NPK                雷霆旋踢
sprite_character_fighter_effect_athurricanespear.NPK         旋风碎心踢
sprite_character_fighter_effect_atillusion.NPK              分身
sprite_character_fighter_effect_atjumpsuplex.NPK             空中抓取特效
sprite_character_fighter_effect_atjunkspin.NPK               血色风暴
sprite_character_fighter_effect_atlegsuplex.NPK              浮空凌云踢抓取特效
sprite_character_fighter_effect_atlightningdance.NPK       闪电之舞
sprite_character_fighter_effect_atlightningdragon.NPK        念兽：猛虎震地
sprite_character_fighter_effect_atmount.NPK                 骑乘金雷虎的特效
sprite_character_fighter_effect_atneedleload.NPK           血色风暴的飞出来的血针
sprite_character_fighter_effect_atnenflower.NPK             念兽：审判之金雷虎
sprite_character_fighter_effect_atnenmonster.NPK             念兽：龙虎啸
sprite_character_fighter_effect_atnenspear.NPK               念之战矛
sprite_character_fighter_effect_atpunchafterreturn.NPK       折颈
sprite_character_fighter_effect_atrandomkick.NPK            瞬影连环踢
sprite_character_fighter_effect_atrisingupper.NPK           炽焰旋风腿
sprite_character_fighter_effect_atroarstun.NPK               狮子吼
sprite_character_fighter_effect_atshouldercharge.NPK        铁山靠
sprite_character_fighter_effect_atsinglekick.NPK             上踢
sprite_character_fighter_effect_atspiralcolumnex.NPK        冲云念气场
sprite_character_fighter_effect_atspire.NPK                  浮空凌云踢
sprite_character_fighter_effect_atstomp.NPK                  鹰踏
sprite_character_fighter_effect_atsuplex.NPK                 膝击
sprite_character_fighter_effect_atsuplexcyclone.NPK         地狱风火轮
sprite_character_fighter_effect_atthrowenemy.NPK             抛投
sprite_character_fighter_effect_atthrowweb.NPK               罗网投掷
sprite_character_fighter_effect_attyphoon.NPK               死亡旋律
sprite_character_fighter_effect_atvenommine.NPK             毒雷引爆
sprite_character_fighter_effect_atwhirlwindkick.NPK          旋风踢
sprite_character_fighter_effect_atwildcannonspike.NPK       裂石破天
格斗家♀
时装
sprite_character_fighter_equipment_avatar_belt.NPK          腰部
sprite_character_fighter_equipment_avatar_cap.NPK           帽子
sprite_character_fighter_equipment_avatar_coat.NPK          上衣
sprite_character_fighter_equipment_avatar_face.NPK          脸部
sprite_character_fighter_equipment_avatar_hair.NPK          头发
sprite_character_fighter_equipment_avatar_neck.NPK          胸部
sprite_character_fighter_equipment_avatar_pants.NPK         下装
sprite_character_fighter_equipment_avatar_shoes.NPK         鞋子
sprite_character_fighter_equipment_avatar_skin.NPK          皮肤
武器
sprite_character_fighter_equipment_weapon_arm.NPK           机械臂铠
sprite_character_fighter_equipment_weapon_boneclaw.NPK      骨爪
sprite_character_fighter_equipment_weapon_boxglove.NPK      拳套
sprite_character_fighter_equipment_weapon_claw.NPK          爪
sprite_character_fighter_equipment_weapon_gauntlet.NPK      臂铠
sprite_character_fighter_equipment_weapon_glove.NPK         手套
sprite_character_fighter_equipment_weapon_knuckle.NPK       指虎
sprite_character_fighter_equipment_weapon_tonfa.NPK         东方棍
职业特征
sprite_character_fighter_equipment_growtype.NPK             柔道、街霸、散打
sprite_character_fighter_effect.NPK                                 气功、技能图标、其他特效
二次觉醒过屏走图、二次觉醒插图、二次觉醒特写（几种叫法一种内容姐）
sprite_character_fighter_effect_cutin.NPK
sprite_character_fighter_effect_blockbusterex.NPK          爆碎砖袭
sprite_character_fighter_effect_chaindestruction.NPK     圣武连环破
sprite_character_fighter_effect_closepunch.NPK               寸拳
sprite_character_fighter_effect_crashlowkick.NPK             碎骨
sprite_character_fighter_effect_dashafterdash.NPK            疾风连击
sprite_character_fighter_effect_dashpunchex.NPK              破碎拳
sprite_character_fighter_effect_dragonmine.NPK              毒龙轰天雷
sprite_character_fighter_effect_earthbreak.NPK               金刚碎
sprite_character_fighter_effect_energyball.NPK               念气波
sprite_character_fighter_effect_energyfield.NPK              螺旋念气场
sprite_character_fighter_effect_finalheaven.NPK             极舞霸皇拳
sprite_character_fighter_effect_giantswing.NPK                末日摇篮
sprite_character_fighter_effect_grabexplosionex.NPK          狂毒擒月炎
sprite_character_fighter_effect_groundkick.NPK              裂地飞沙
sprite_character_fighter_effect_hurricanesp.NPK               苍宇彗星落
sprite_character_fighter_effect_inhaledenergyshot.NPK   聚能念气炮
sprite_character_fighter_effect_inhaledenergyshot_absorbenergyball.NPK  聚能念气炮特效
sprite_character_fighter_effect_jumpsuplex.NPK               霹雳肘击
sprite_character_fighter_effect_junkspin.NPK                 街头风暴
sprite_character_fighter_effect_junkspin_objects.NPK       街头风暴的大件垃圾
sprite_character_fighter_effect_legsuplexex.NPK             空绞连锤
sprite_character_fighter_effect_lightningdance.NPK           闪电之舞
sprite_character_fighter_effect_lightningdragon.NPK         念兽：雷龙出海
sprite_character_fighter_effect_muscleshift.NPK              柔化肌肉
sprite_character_fighter_effect_nencharge.NPK               风之气息
sprite_character_fighter_effect_nenflower.NPK               千莲怒放
sprite_character_fighter_effect_nenguardex.NPK              究极念气罩
sprite_character_fighter_effect_nenmonster_whitetiger.NPK   念兽：龙虎啸
sprite_character_fighter_effect_nenofbrilliance.NPK        念帝旋天破
sprite_character_fighter_effect_nenshield.NPK                念气罩
sprite_character_fighter_effect_poisonexplosion.NPK     连环毒爆弹
sprite_character_fighter_effect_poisonmist.NPK               死亡毒雾
sprite_character_fighter_effect_poisonsnake.NPK              万毒噬心决
sprite_character_fighter_effect_powerupondash.NPK            武神步
sprite_character_fighter_effect_punchafterreturn.NPK         折颈
sprite_character_fighter_effect_randomkick.NPK               纷影连环踢
sprite_character_fighter_effect_risingupper.NPK              升龙拳
sprite_character_fighter_effect_risingupperex.NPK           升龙霸
sprite_character_fighter_effect_roarstunex.NPK               狂狮怒吼
sprite_character_fighter_effect_saintillusion.NPK              奇袭幻影
sprite_character_fighter_effect_shouldercharge.NPK          铁山靠
sprite_character_fighter_effect_singlekick.NPK              上踢
sprite_character_fighter_effect_stomp.NPK                   鹰踏
sprite_character_fighter_effect_strongestlowkick.NPK       武神强踢
sprite_character_fighter_effect_suplexcyclone.NPK            地狱摇篮
sprite_character_fighter_effect_suplexcycloneex.NPK         死亡摇篮
sprite_character_fighter_effect_suplexsubpowerup.NPK         背摔强化
sprite_character_fighter_effect_throwenemy.NPK               抛投
sprite_character_fighter_effect_tigerstrike.NPK                    虎啸神拳
sprite_character_fighter_effect_torbellino.NPK                  风暴之舞
sprite_character_fighter_effect_typhoon.NPK                 末日风暴
sprite_character_fighter_effect_venommine.NPK                毒雷引爆
sprite_character_fighter_effect_wildcannonspike.NPK          裂石破天
神枪手♀
时装
sprite_character_gunner_atequipment_avatar_belt.NPK         腰部
sprite_character_gunner_atequipment_avatar_cap.NPK          帽子
sprite_character_gunner_atequipment_avatar_coat.NPK         上衣
sprite_character_gunner_atequipment_avatar_face.NPK         脸部
sprite_character_gunner_atequipment_avatar_hair.NPK         头部
sprite_character_gunner_atequipment_avatar_neck.NPK         胸部
sprite_character_gunner_atequipment_avatar_pants.NPK        裤子
sprite_character_gunner_atequipment_avatar_shoes.NPK        鞋子
sprite_character_gunner_atequipment_avatar_skin.NPK         皮肤
武器
sprite_character_gunner_atequipment_weapon_auto.NPK         自动
sprite_character_gunner_atequipment_weapon_bowgun.NPK       手弩
sprite_character_gunner_atequipment_weapon_hcan.NPK         手炮
sprite_character_gunner_atequipment_weapon_musket.NPK       步枪
sprite_character_gunner_atequipment_weapon_rev.NPK          左轮
职业特征
sprite_character_gunner_atequipment_growtype.NPK          枪炮、弹药、漫游
sprite_character_gunner_effect.NPK                             机械、技能图标、其他特效
技能
sprite_character_gunner_effect_ancienttrigger.NPK            远古粒子炮
sprite_character_gunner_effect_atnapalmbomb.NPK              光子爆弹
sprite_character_gunner_effect_atstinger.NPK                 FM-92 mk2榴弹
sprite_character_gunner_effect_attwingunblade.NPK            双枪极舞刃
sprite_character_gunner_effect_empstorm.NPK                 EMP风暴
sprite_character_gunner_effect_g0.NPK                        G-0战争领主
sprite_character_gunner_effect_shooteffect_randomshoot.NPK   枪舞
sprite_character_gunner_effect_veiledcut.NPK                 隐匿切割
sprite_monster_gunner_tempesterat.NPK                       空战机械：狂风
神枪手♂
时装
sprite_character_gunner_equipment_avatar_belt.NPK           腰部 
sprite_character_gunner_equipment_avatar_cap.NPK            帽子 
sprite_character_gunner_equipment_avatar_coat.NPK           上衣 
sprite_character_gunner_equipment_avatar_face.NPK           脸部 
sprite_character_gunner_equipment_avatar_hair.NPK           头部 
sprite_character_gunner_equipment_avatar_neck.NPK           胸部 
sprite_character_gunner_equipment_avatar_pants.NPK          裤子 
sprite_character_gunner_equipment_avatar_shoes.NPK          鞋子 
sprite_character_gunner_equipment_avatar_skin.NPK           皮肤
武器
sprite_character_gunner_equipment_weapon_auto.NPK           自动
sprite_character_gunner_equipment_weapon_bowgun.NPK         手弩
sprite_character_gunner_equipment_weapon_hcan.NPK           手炮
sprite_character_gunner_equipment_weapon_musket.NPK         步枪
sprite_character_gunner_equipment_weapon_rev.NPK            左轮
职业特征
sprite_character_gunner_equipment_growtype.NPK          枪炮、弹药、漫游
sprite_character_gunner_effect.NPK                       机械、技能图标、其他特效
技能
sprite_character_gunner_effect_blackrose.NPK                黑玫瑰特种战队
sprite_character_gunner_effect_desperado.NPK                疯狂屠戳
sprite_character_gunner_effect_gaebolgpunch.NPK             盖波加之拳
sprite_character_gunner_effect_hiteffect_suddendeath.NPK     致死
sprite_character_gunner_effect_radarstuckdown.NPK           卫星定位
sprite_character_gunner_effect_redrose.NPK                  活动-红玫瑰军团
sprite_character_gunner_effect_satelaser.NPK               卫星射线
sprite_character_gunner_effect_stinger.NPK                   FM-92刺弹炮
sprite_monster_gunner_tempester.NPK                         空战机械：风暴
神枪手通用技能
sprite_character_gunner_effect_bullet.NPK                   各种子弹
sprite_character_gunner_effect_bullet_exs.NPK               毒蛇炮的子弹
sprite_character_gunner_effect_c4remote.NPK                 C4远程炸弹
sprite_character_gunner_effect_cannonball.NPK               加农炮
sprite_character_gunner_effect_chargebuster.npk     使用FM-31榴弹发射器时的特效
sprite_character_gunner_effect_countershoot.NPK             复仇反击
sprite_character_gunner_effect_doublegunhawk.NPK            双鹰回旋
sprite_character_gunner_effect_dropbomblight.NPK            量子爆弹掉落特效
sprite_character_gunner_effect_extruder.NPK                 X-1压缩量子炮
sprite_character_gunner_effect_fastshoot.NPK                膝撞等特效
sprite_character_gunner_effect_flamethrower.NPK             M-3喷火器
sprite_character_gunner_effect_flamethrowerboost.NPK        聚焦喷火器
sprite_character_gunner_effect_flashmine.NPK                闪光地雷
sprite_character_gunner_effect_fm-31.npk                    FM-31榴弹发射器
sprite_character_gunner_effect_g1.NPK                       G-1科罗纳
sprite_character_gunner_effect_g2.NPK                       G-2旋雷者
sprite_character_gunner_effect_g3.NPK                       G-3捕食者
sprite_character_gunner_effect_grenade.NPK                  手雷 - 投掷
sprite_character_gunner_effect_grenade_boom.NPK             手雷 - 爆炸
sprite_character_gunner_effect_grenade_reload.NPK           手雷 - 填装
sprite_character_gunner_effect_grenade_ui.NPK                  手雷 - 残弹显示
sprite_character_gunner_effect_hiteffect.NPK                子弹的命中效果
sprite_character_gunner_effect_laserriflecharge.NPK         激光炮
sprite_character_gunner_effect_markofdeath.npk              死亡标记
sprite_character_gunner_effect_multiheadshot.NPK            多重爆头
sprite_character_gunner_effect_nielsniping.NPK              尼尔狙击
sprite_character_gunner_effect_shooteffect.NPK              射击效果
sprite_character_gunner_effect_shooteffect_crossshot.NPK     散弹枪
sprite_character_gunner_effect_shooteffect_exs.NPK           Ex-S毒蛇炮的射击效果
sprite_character_gunner_effect_sparrowfactory.NPK           拦截机工厂
sprite_character_gunner_effect_steyrheavyrifle.NPK           反坦克炮
sprite_character_gunner_effect_subweapon.NPK                 重火器
sprite_character_gunner_effect_subweaponstuckdown.NPK       加BUFF时候的特效
sprite_character_gunner_effect_tread.NPK                    踏射特效
sprite_character_gunner_effect_uraniumbomb.NPK              量子爆弹爆炸特效
sprite_character_gunner_effect_walkshoot.NPK                移动射击特效
sprite_monster_gunner_exs.NPK                               Ex-S毒蛇炮
sprite_monster_gunner_ez8.NPK                               EZ-8自爆者
sprite_monster_gunner_fightingspirit.NPK                   斗志之歌
sprite_monster_gunner_firerx78.NPK                          红色破坏者
sprite_monster_gunner_headingrx78.NPK                   钢铁机器人
sprite_monster_gunner_healrx78.NPK                        修复者格莱/神力雷克斯
sprite_monster_gunner_rx78.NPK                              RX-78追击者
sprite_character_gunner_effect_airraidex.NPK   回旋劫击、炽焰劫击、音速劫击、浮空劫击
sprite_character_gunner_effect_airraidex_old.NPK            同上
sprite_character_gunner_effect_blizzardthrowerboost.NPK     聚焦冰息炮
sprite_character_gunner_effect_blizzardthrowerboost_female.NPK               聚焦冰息炮
sprite_character_gunner_effect_blizzardthrowerboost_male.NPK                           聚焦冰息炮
sprite_character_gunner_effect_c4ex.NPK                      C4飞速炸弹
sprite_monster_gunner_ez8ex.NPK                              Ez-10反击者
sprite_character_gunner_effect_flashmineex.NPK               M-16地雷
sprite_character_gunner_effect_multiheadshotex.NPK           极限多重爆头
sprite_character_gunner_effect_stingerex.NPK                 FM-92系列的小飞弹
魔法师♂
时装
sprite_character_mage_atequipment_avatar_belt.npk           腰部
sprite_character_mage_atequipment_avatar_cap.npk            帽子
sprite_character_mage_atequipment_avatar_coat.npk           衣服
sprite_character_mage_atequipment_avatar_face.npk           脸部
sprite_character_mage_atequipment_avatar_hair.npk           头部
sprite_character_mage_atequipment_avatar_neck.npk           胸部
sprite_character_mage_atequipment_avatar_pants.npk          裤子
sprite_character_mage_atequipment_avatar_shoes.npk          鞋子
sprite_character_mage_atequipment_avatar_skin.npk           皮肤
sprite_character_mage_atequipment_face.npk                  也是脸部
武器
sprite_character_mage_atequipment_weapon_pole.npk           棍棒
sprite_character_mage_atequipment_weapon_rod.npk            魔杖
sprite_character_mage_atequipment_weapon_spear.npk          矛
sprite_character_mage_atequipment_weapon_staff.npk          法杖
职业特征
sprite_character_mage_equipment_growtype.NPK                  冰法
sprite_character_mage_effect.NPK                   元素、技能图标、其他特效
技能
sprite_character_mage_effect_atattack.npk                   魔法球
sprite_character_mage_effect_atbluedragonwill.npk           冰魄锤击
sprite_character_mage_effect_atbrokenarrow.npk              冰魄之弓
sprite_character_mage_effect_atchainlightning.npk           雷光链
sprite_character_mage_effect_atconcentrate.npk              元素浓缩球
sprite_character_mage_effect_atdarknessmantle.npk           黑暗禁域
sprite_character_mage_effect_atdiehard.npk                   不死之身死亡后的恢复特效
sprite_character_mage_effect_atelementalbuster.npk           幻魔四重奏的攻击特效
sprite_character_mage_effect_atelementalbuster_dark.npk     幻魔四重奏的暗属性爆炸特效
sprite_character_mage_effect_atelementalbuster_fire.npk      幻魔四重奏的火属性爆炸特效
sprite_character_mage_effect_atelementalbuster_light.npk     幻魔四重奏的光属性爆炸特效
sprite_character_mage_effect_atelementalbuster_water.npk   幻魔四重奏的冰属性爆炸特效
sprite_character_mage_effect_atelementalchange.npk           属性变换
sprite_character_mage_effect_atelementalchange_dark.npk      暗属性魔法炮攻击特效
sprite_character_mage_effect_atelementalchange_fire.npk     火属性魔法炮攻击特效
sprite_character_mage_effect_atelementalchange_light.npk     光属性魔法炮攻击特效
sprite_character_mage_effect_atelementalchange_water.npk    冰属性魔法炮攻击特效
sprite_character_mage_effect_atelementalrain.npk            元素轰炸
sprite_character_mage_effect_atelementalstrikeex_dark.npk    暗属性的元素幻灭
sprite_character_mage_effect_atelementalstrikeex_fire.npk    火属性的元素幻灭
sprite_character_mage_effect_atelementalstrikeex_light.npk   光属性的元素幻灭
sprite_character_mage_effect_atelementalstrikeex_nothing.npk属性的元素幻灭
sprite_character_mage_effect_atelementalstrikeex_water.npk   冰属性的元素幻灭
sprite_character_mage_effect_atfallenblossoms.npk            寒冰连枪
sprite_character_mage_effect_atfirepillar.npk               旋火盾
sprite_character_mage_effect_atfireroad.npk                 地炎
sprite_character_mage_effect_atflamecircle.npk              旋炎破
sprite_character_mage_effect_atfrozenland.npk                冰龙旋舞
sprite_character_mage_effect_atholonglight.npk               幽冥火
sprite_character_mage_effect_aticearea.npk                  冰晶之浴
sprite_character_mage_effect_aticechakram.npk               冰之回旋的小冰轮攻击特效
sprite_character_mage_effect_aticechakram_last.npk          冰之回旋的大冰轮攻击特效
sprite_character_mage_effect_aticecrash.npk                 旋冰穿刺
sprite_character_mage_effect_aticeelementalattack.npk        冰之印的攻击特效
sprite_character_mage_effect_aticefieldex.npk                千里冰封
sprite_character_mage_effect_aticeman.npk                   极冰绽放
sprite_character_mage_effect_aticeorb.npk                   冰凌破
sprite_character_mage_effect_aticeroad.npk                  冰霜之径
sprite_character_mage_effect_atlightningwall.npk             雷光屏障
sprite_character_mage_effect_atmanaburst.npk                 魔力燃烧的特效
sprite_character_mage_effect_atpieceofice.npk               破冰飞刃
sprite_character_mage_effect_atpush.npk                      擒拿掌
sprite_character_mage_effect_atresonance.npk                 寒冰之境
sprite_character_mage_effect_atteleport.npk                  瞬移
sprite_character_mage_effect_attundrasoul.npk               冰冻空间的特效
sprite_character_mage_effect_atturnwindmill.npk             冰魄旋枪
缔造者
sprite_character_mage_effect_creatorfirehurricane.NPK                      烈焰飓风
sprite_character_mage_effect_creatorfiremeteo.NPK                            炽炎星陨
sprite_character_mage_effect_creatorfirewall.NPK                              烈火燎原
sprite_character_mage_effect_creatoriceplate.NPK                            冰天震地
sprite_character_mage_effect_creatoricerock.NPK                       冰霜之球
sprite_character_mage_effect_creatoriceshield.NPK                           极冰护盾
sprite_character_mage_effect_creatoricewoodfence.NPK                 树之屏障
sprite_character_mage_effect_creatormodechange.NPK                    风暴
sprite_character_mage_effect_creatortargetmark.NPK                        坐标
sprite_character_mage_effect_creatorwindpress.NPK                   超能旋风波
sprite_character_mage_effect_creatorwindstorm.NPK                        风暴漩涡
魔法师♀
时装
sprite_character_mage_equipment_avatar_belt.NPK             腰部 
sprite_character_mage_equipment_avatar_cap.NPK              帽子 
sprite_character_mage_equipment_avatar_coat.NPK             衣服 
sprite_character_mage_equipment_avatar_face.NPK             脸部 
sprite_character_mage_equipment_avatar_hair.NPK             头部 
sprite_character_mage_equipment_avatar_neck.NPK             胸部 
sprite_character_mage_equipment_avatar_pants.NPK            裤子 
sprite_character_mage_equipment_avatar_shoes.NPK            鞋子 
sprite_character_mage_equipment_avatar_skin.NPK             皮肤
武器
sprite_character_mage_equipment_weapon_broom.NPK            扫把
sprite_character_mage_equipment_weapon_pole.NPK             棍棒
sprite_character_mage_equipment_weapon_rod.NPK              魔杖
sprite_character_mage_equipment_weapon_spear.NPK            矛
sprite_character_mage_equipment_weapon_staff.NPK            法杖
职业特征
sprite_character_mage_equipment_growtype.NPK              魔道、战法、召唤
sprite_character_mage_effect.NPK                  元素、技能图标、其他特效
技能
sprite_character_mage.NPK                                   驱散魔法
sprite_character_mage_effect_acidcloud.NPK                  魔道酸雨云
sprite_character_mage_effect_antigravity.NPK               反重力装置
sprite_character_mage_effect_aurashield.NPK                 魔法盾
sprite_character_mage_effect_bellatrix.NPK                 贝亚娜斗神
sprite_character_mage_effect_blackhole.NPK                  湮灭黑洞
sprite_character_mage_effect_blackmantle.NPK                暗影斗篷
sprite_character_mage_effect_broomspin.NPK                  旋转扫把
sprite_character_mage_effect_chaser.NPK                     炫纹
sprite_character_mage_effect_chasersexplosion.NPK          贝亚娜炫纹
sprite_character_mage_effect_doubleswing.NPK                双重锤击
sprite_character_mage_effect_dragonspear.NPK                煌龙偃月
sprite_character_mage_effect_elementalchain.NPK             元素点燃
sprite_character_mage_effect_elementalshower.NPK            阿斯特雷风暴
sprite_character_mage_effect_enhancedmagicmissile.NPK       改良星星弹
sprite_character_mage_effect_equipbroom.NPK                 扫把装备特效
sprite_character_mage_effect_familiar_blackcat.NPK          亲和暗影夜猫
sprite_character_mage_effect_familiar_common.NPK            技能失败和成功的特效
sprite_character_mage_effect_familiar_fluorescent.NPK       亲和光电鳗
sprite_character_mage_effect_familiar_jackfrost.NPK          亲和冰霜雪人
sprite_character_mage_effect_familiar_jol.NPK               亲和杰克南瓜
sprite_character_mage_effect_flamestrike.NPK               烈焰冲击
sprite_character_mage_effect_flamestrike_dust.NPK            烈焰冲击的尘土
sprite_character_mage_effect_fluorecollider.NPK             电鳗碰撞机
sprite_character_mage_effect_frostheadidolevent.npk        心形特效
sprite_character_mage_effect_fusioncraft.NPK                技艺融合
sprite_character_mage_effect_fusionchaser.NPK               炫纹融合 
sprite_character_mage_effect_heatingfurnace.NPK             暴炎加热炉
sprite_character_mage_effect_icefield.NPK                    极冰盛宴
sprite_character_mage_effect_lavapotion.NPK                  熔岩药瓶
sprite_character_mage_effect_megadrill.NPK                   冰霜钻孔车
sprite_character_mage_effect_pinkrocketevent.npk            导弹特效
sprite_character_mage_effect_pokethrow.NPK                  圆舞棍
